lien_he,tu_van,bao_gia,demo,qtam,qd,tg,age,web_time,frac_react,frac_cmt,avg_res,target,size_Large,size_Medium,size_Micro,size_Small,role_CEO,role_Director,role_Engineer,role_Founder,role_Manager,role_Marketing,role_Procurement,role_Sales,channel_Web,channel_ZALO
0,1,0,0,0,0,0,55,86.0,0.011,0.006,132365,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True
0,0,0,0,0,0,1,40,67.3,0.045,0.009,170769,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,1,0,0,51,70.8,0.023,0.01,37618,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,0,1,0,1,1,1,29,177.8,0.132,0.044,1651,2,False,False,False,True,False,False,False,False,False,True,False,False,True,False
1,1,1,1,1,0,1,55,2154.3,0.378,0.09,1482,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,0,0,0,0,0,0,55,39.8,0.027,0.005,47806,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1,0,0,1,1,1,0,26,721.4,0.088,0.021,5286,2,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,1,0,0,1,0,1,50,657.1,0.065,0.036,4404,2,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,1,0,0,45,69.6,0.016,0.005,73716,1,False,False,False,True,False,False,True,False,False,False,False,False,True,False
0,0,1,1,1,1,1,45,715.2,0.14,0.044,4685,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,1,1,0,1,1,1,43,746.0,0.361,0.251,1756,3,False,True,False,False,False,False,False,False,False,False,True,False,False,True
1,1,1,0,1,1,1,48,564.8,0.073,0.046,1202,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,1,1,0,1,0,0,48,708.9,0.074,0.043,4696,2,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0,0,0,0,1,0,0,52,41.6,0.02,0.006,82042,1,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1,1,0,0,1,0,0,32,741.5,0.19,0.057,818,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True
0,1,1,0,1,0,0,58,760.9,0.083,0.048,6338,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,0,0,0,50,28.8,0.016,0.007,141350,1,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1,1,0,0,1,1,1,41,866.7,0.091,0.027,3038,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,1,1,1,1,1,63,965.6,0.657,0.17,838,3,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1,1,1,1,1,1,1,33,1369.3,0.509,0.105,1133,3,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,0,0,0,23,31.8,0.005,0.003,127437,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0,0,0,0,0,1,0,50,41.9,0.032,0.009,27051,1,True,False,False,False,False,False,False,False,False,True,False,False,False,True
0,1,1,0,1,0,1,27,850.6,0.242,0.074,906,2,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,1,0,1,54,102.9,0.023,0.002,33129,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,1,0,0,38,75.3,0.032,0.004,115719,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,1,0,0,1,0,0,40,355.5,0.189,0.006,5954,2,True,False,False,False,False,False,False,False,False,True,False,False,False,True
0,1,0,0,1,1,1,44,599.4,0.078,0.015,1854,2,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,0,0,1,1,1,1,40,468.5,0.185,0.011,5221,2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,0,0,0,0,0,53,28.6,0.029,0.001,137391,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,1,1,0,26,701.7,0.157,0.008,3422,2,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1,0,1,1,1,0,0,33,469.9,0.232,0.033,1257,2,True,False,False,False,False,False,False,False,False,True,False,False,False,True
1,1,0,0,0,1,1,39,481.1,0.188,0.037,3707,2,False,False,True,False,False,False,False,False,True,False,False,False,False,True
1,1,1,1,1,1,1,35,2898.2,0.813,0.036,452,3,False,True,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,0,1,0,22,67.1,0.038,0.008,40335,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,0,0,1,1,0,44,442.6,0.091,0.047,5446,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False
1,1,1,1,1,1,1,50,1556.2,0.462,0.085,800,3,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,0,1,0,49,69.1,0.007,0.002,56903,1,False,False,True,False,False,False,False,False,False,False,False,True,False,True
0,0,0,0,0,0,0,23,74.6,0.002,0.001,157631,1,False,True,False,False,False,False,False,False,False,False,False,True,True,False
1,1,1,0,1,0,1,32,591.4,0.075,0.074,5122,2,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0,0,0,0,0,0,51,59.0,0.042,0.009,100778,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,1,0,0,46,42.9,0.019,0.008,134488,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1,0,0,0,1,1,0,47,546.3,0.07,0.072,5857,2,False,False,False,True,False,False,False,False,False,False,True,False,True,False
1,1,1,1,1,0,1,31,3127.6,0.324,0.292,48,3,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,0,1,1,51,68.4,0.001,0.005,75621,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0,1,0,0,1,0,1,58,603.4,0.086,0.032,7112,2,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1,1,0,1,1,1,1,27,414.2,0.135,0.053,6357,2,False,False,True,False,False,False,False,False,False,False,False,True,False,True
0,0,0,0,1,0,0,26,29.3,0.043,0.009,128249,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,0,0,0,0,0,31,72.5,0.038,0.007,108010,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,1,1,1,1,1,1,62,1019.9,0.891,0.298,1055,3,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,0,0,1,1,1,45,502.7,0.108,0.076,4137,2,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0,0,0,0,1,0,0,24,48.7,0.039,0.002,105737,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False
0,0,0,0,0,0,0,28,56.6,0.028,0.004,10484,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0,0,0,0,1,1,0,46,108.6,0.045,0.01,153535,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,0,0,0,44,316.3,0.084,0.052,5464,2,True,False,False,False,False,False,False,False,True,False,False,False,False,True
1,0,0,0,1,0,1,53,879.9,0.06,0.029,6295,2,False,True,False,False,False,False,False,False,False,False,False,True,True,False
0,1,0,0,1,0,0,51,48.2,0.041,0.004,33455,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1,1,0,1,1,0,1,29,1228.9,0.748,0.338,171,3,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,1,1,1,1,1,1,43,1869.4,0.433,0.196,1254,3,True,False,False,False,False,False,False,True,False,False,False,False,True,False
1,1,1,0,1,1,0,59,719.8,0.175,0.032,5900,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,1,0,1,1,1,0,31,702.5,0.153,0.057,2410,2,False,True,False,False,False,False,False,False,False,False,True,False,True,False
1,1,0,0,1,0,0,51,230.5,0.099,0.039,2294,2,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,0,0,0,0,0,1,26,744.0,0.235,0.061,4827,2,False,True,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,1,0,0,31,8.4,0.031,0.002,158842,1,False,False,False,True,False,False,False,False,False,False,False,True,False,True
0,0,0,0,1,1,1,59,273.7,0.055,0.055,4609,2,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,1,0,0,1,1,1,44,644.2,0.099,0.023,1558,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0,0,0,0,0,0,0,31,24.2,0.014,0.002,121827,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False
1,1,0,0,1,1,1,51,775.1,0.138,0.011,852,2,True,False,False,False,False,False,False,False,False,False,False,True,True,False
1,1,1,0,1,0,1,57,2132.4,0.58,0.129,1142,3,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,1,1,1,1,0,1,62,2808.0,0.64,0.122,96,3,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1,1,0,1,1,0,1,47,600.6,0.203,0.066,7198,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,0,0,0,38,118.3,0.034,0.001,111497,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,1,1,1,1,0,1,43,2884.4,0.657,0.211,1212,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False
1,0,0,0,1,0,1,48,573.9,0.221,0.069,1363,2,True,False,False,False,False,False,False,False,False,False,False,True,False,True
1,1,0,0,1,0,0,38,766.1,0.104,0.048,5237,2,True,False,False,False,False,False,False,False,False,True,False,False,False,True
1,1,1,1,1,1,0,57,1923.9,0.151,0.384,444,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False
1,1,1,1,1,1,1,45,847.3,0.648,0.27,136,3,False,True,False,False,False,True,False,False,False,False,False,False,False,True
1,1,0,0,1,0,0,33,650.4,0.032,0.057,1587,2,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,1,1,0,1,0,1,34,3243.0,0.253,0.316,1572,3,False,True,False,False,False,True,False,False,False,False,False,False,False,True
1,1,1,1,1,0,1,38,1239.2,0.711,0.37,1291,3,True,False,False,False,False,True,False,False,False,False,False,False,True,False
1,0,0,0,1,0,1,45,622.8,0.085,0.05,6507,2,False,False,False,True,False,False,False,False,False,False,True,False,False,True
1,1,1,0,1,1,1,50,506.0,0.055,0.042,5465,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1,0,0,0,0,0,0,46,114.8,0.039,0.0,21303,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True
0,0,0,0,1,0,0,52,51.3,0.032,0.005,43624,1,True,False,False,False,False,False,False,False,False,False,False,True,True,False
0,0,0,0,0,1,0,45,85.3,0.036,0.008,18779,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,0,0,0,31,20.8,0.001,0.005,94486,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1,1,0,0,1,0,1,26,528.6,0.088,0.078,5740,2,False,True,False,False,False,False,False,False,False,False,False,True,False,True
0,0,0,0,0,0,0,36,90.2,0.0,0.009,6821,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,0,0,0,0,1,0,55,33.6,0.046,0.003,24017,1,True,False,False,False,False,False,False,False,False,True,False,False,False,True
0,1,0,0,1,0,0,54,187.4,0.13,0.033,2988,2,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,1,0,0,1,1,0,59,847.3,0.035,0.046,5809,2,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1,1,1,1,1,0,1,47,3549.3,0.465,0.386,321,3,False,True,False,False,False,False,False,True,False,False,False,False,True,False
0,1,1,0,1,0,1,30,224.1,0.21,0.011,5251,2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,0,1,1,45,36.3,0.004,0.002,156877,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True
0,0,0,0,0,0,0,33,35.5,0.006,0.002,83348,1,True,False,False,False,False,False,True,False,False,False,False,False,False,True
1,1,1,0,1,1,1,33,1788.7,0.187,0.141,1709,3,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1,1,0,1,1,1,1,43,3011.7,0.255,0.034,1730,3,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1,1,1,0,1,1,1,33,3352.3,0.206,0.399,434,3,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,1,1,0,1,1,1,49,751.9,0.843,0.19,1513,3,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0,1,0,0,0,0,1,27,311.7,0.095,0.036,5111,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0,0,0,0,1,0,1,59,400.1,0.15,0.041,5233,2,False,False,True,False,False,False,False,False,False,False,False,True,True,False
1,0,0,0,1,1,0,55,899.7,0.244,0.013,5981,2,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0,0,0,0,1,0,1,44,32.2,0.016,0.007,97652,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1,1,0,1,1,1,1,64,1527.2,0.518,0.063,506,3,False,True,False,False,False,False,False,False,True,False,False,False,True,False
0,1,0,0,1,0,0,45,577.6,0.232,0.063,4911,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1,1,1,1,1,1,1,34,1009.4,0.268,0.381,1651,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True
1,0,0,0,1,1,0,36,657.0,0.058,0.06,6350,2,True,False,False,False,False,False,False,False,False,True,False,False,True,False
1,1,1,1,1,1,0,48,2296.7,0.853,0.082,1556,3,False,False,False,False,False,False,False,True,False,False,False,False,True,False
0,0,0,0,0,1,0,41,29.1,0.035,0.004,31920,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,0,0,1,1,0,49,627.8,0.181,0.017,1203,2,False,False,True,False,False,False,False,False,False,False,False,True,True,False
1,1,0,0,1,1,0,49,2796.0,0.56,0.362,220,3,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1,0,0,0,1,0,0,47,43.1,0.049,0.004,148857,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False
